Student_ID,Class,Gender,School,Subject,Study_Hours_Per_Day,Attendance_%,Assignment_Completion_%,Sleep_Hours,Previous_Score,Final_Score,Grade,Study_Method,Internet_Access
STU1001,11,Female,Kendriya Vidyalaya,Mathematics,5.2,77.3,78.5,7.4,57.7,60.4,C,Study Group,Good
STU1002,12,Male,Delhi Public School,Computer Science,5.1,72.1,96.2,8.2,75.4,65.7,C,Coaching,Poor
STU1003,11,Male,DAV Public School,Social Studies,3.2,66.7,100.0,7.2,63.0,72.4,B,Self Study,Poor
STU1004,9,Male,Modern School,Computer Science,1.0,73.2,86.5,6.9,64.1,51.2,D,Study Group,Average
STU1005,11,Female,DAV Public School,Computer Science,1.8,60.2,68.4,8.8,61.4,60.7,C,Study Group,Good
STU1006,12,Female,Kendriya Vidyalaya,Computer Science,3.1,100.0,80.5,7.1,63.5,63.7,C,Self Study,Average
STU1007,10,Female,DAV Public School,Social Studies,2.6,70.7,97.0,8.4,69.5,68.5,C,Study Group,Good
STU1008,11,Female,Kendriya Vidyalaya,Mathematics,1.1,71.5,73.5,5.7,87.5,55.6,D,Online Courses,Average
STU1009,10,Female,St. Xavier's,Social Studies,3.3,89.4,75.1,5.0,76.5,69.1,C,Coaching,Good
STU1010,11,Male,St. Xavier's,Computer Science,0.3,58.7,58.1,7.1,76.0,47.0,D,Online Courses,Average
STU1011,11,Female,Ryan International,Mathematics,3.8,70.2,72.8,6.5,52.2,54.8,D,Study Group,Good
STU1012,11,Female,Kendriya Vidyalaya,English,1.7,76.7,74.0,5.5,77.8,60.5,C,Study Group,Good
STU1013,9,Male,St. Xavier's,Mathematics,4.0,75.9,69.5,6.8,92.8,68.2,C,Coaching,Good
STU1014,12,Female,Ryan International,Mathematics,1.7,82.9,60.0,6.2,71.2,52.4,D,Online Courses,Good
STU1015,10,Female,Kendriya Vidyalaya,Computer Science,1.5,72.4,75.0,6.3,51.7,46.1,D,Self Study,Average
STU1016,12,Male,Ryan International,Mathematics,2.2,77.6,59.1,5.3,51.2,43.9,D,Coaching,Average
STU1017,11,Female,DAV Public School,Computer Science,3.0,69.0,92.1,10.0,63.5,70.3,B,Study Group,Good
STU1018,9,Female,St. Xavier's,Social Studies,5.4,67.0,85.1,8.2,58.9,64.4,C,Self Study,Good
STU1019,12,Female,Modern School,Science,5.0,71.1,77.7,9.2,72.5,74.3,B,Self Study,Good
STU1020,9,Female,Modern School,Computer Science,0.9,89.3,74.1,8.3,71.6,52.3,D,Coaching,Good
STU1021,11,Female,Modern School,Mathematics,3.4,64.0,80.3,9.0,67.0,57.6,D,Online Courses,Average
STU1022,11,Male,Modern School,Science,3.9,72.7,76.7,7.4,62.0,50.4,D,Self Study,Average
STU1023,10,Male,DAV Public School,Mathematics,0.9,93.6,76.7,7.5,61.6,49.6,D,Study Group,Good
STU1024,12,Female,Ryan International,Mathematics,2.5,85.9,95.9,8.1,53.6,64.2,C,Online Courses,Good
STU1025,9,Male,Ryan International,Mathematics,2.8,73.0,74.0,6.6,65.5,55.5,D,Self Study,Average
STU1026,9,Male,St. Xavier's,Mathematics,3.2,82.8,36.8,7.8,72.9,60.1,C,Study Group,Good
STU1027,10,Female,Delhi Public School,Social Studies,2.6,63.0,97.1,7.0,77.6,51.8,D,Online Courses,Good
STU1028,10,Male,Ryan International,Computer Science,3.8,78.8,69.5,7.0,55.7,59.0,D,Self Study,Average
STU1029,11,Female,Ryan International,Mathematics,0.3,85.8,99.9,7.1,61.3,57.7,D,Coaching,Good
STU1030,12,Female,Kendriya Vidyalaya,English,3.5,74.8,87.1,8.0,60.6,55.6,D,Study Group,Average
STU1031,9,Male,DAV Public School,Science,2.3,83.7,86.7,5.7,45.5,51.0,D,Self Study,Poor
STU1032,12,Female,St. Xavier's,Mathematics,2.8,85.1,88.8,8.0,59.4,66.9,C,Study Group,Good
STU1033,11,Female,St. Xavier's,Social Studies,3.1,74.6,75.5,6.2,61.1,55.3,D,Study Group,Average
STU1034,10,Male,Kendriya Vidyalaya,Science,3.5,84.8,70.6,5.9,82.8,61.5,C,Online Courses,Poor
STU1035,10,Female,Kendriya Vidyalaya,Computer Science,1.5,70.4,86.9,6.9,46.7,56.7,D,Study Group,Good
STU1036,10,Male,St. Xavier's,Social Studies,2.1,79.9,77.9,8.4,49.8,57.0,D,Online Courses,Good
STU1037,9,Female,Ryan International,Social Studies,2.2,68.6,59.7,8.7,57.9,41.4,D,Online Courses,Good
STU1038,10,Female,St. Xavier's,Social Studies,3.1,100.0,44.3,7.5,72.4,60.4,C,Self Study,Good
STU1039,12,Female,St. Xavier's,Social Studies,4.1,67.1,55.9,8.7,63.5,47.7,D,Self Study,Poor
STU1040,10,Female,Ryan International,Computer Science,4.0,89.3,90.3,5.8,68.5,59.6,D,Coaching,Average
STU1041,10,Female,DAV Public School,Computer Science,2.0,59.9,86.8,5.2,69.6,65.7,C,Self Study,Average
